Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA
D1,23/09/06,Hannover,Leverkusen,1,1,D,0,1,A,16,12,8,6,20,15,2,0,0,0,2.5,3.25,2.7,2.55,3.15,2.55
D1,23/09/06,Mainz,Hertha,1,1,D,0,0,D,17,12,11,9,17,16,1,1,0,0,2.37,3.2,2.9,2.55,3.15,2.55
D1,23/09/06,Schalke 04,Wolfsburg,2,0,H,0,0,D,23,10,12,5,12,25,3,2,0,0,1.4,4.33,7.5,1.4,4.1,7.0
D1,23/09/06,Stuttgart,Ein Frankfurt,1,1,D,0,0,D,21,12,10,5,17,11,0,1,0,0,1.83,3.3,4.33,1.9,3.25,3.6
D1,24/09/06,Bochum,Bielefeld,2,1,H,0,1,A,13,17,7,12,21,18,2,1,0,0,2.1,3.25,3.4,2.0,3.25,3.4
D1,24/09/06,Cottbus,Nurnberg,1,1,D,0,1,A,12,18,5,12,23,19,2,2,0,0,2.4,3.25,2.8,2.55,3.15,2.55
D1,29/09/06,Dortmund,Hannover,2,2,D,1,0,H,13,17,9,8,20,15,2,2,0,0,1.61,3.6,5.5,1.55,3.7,5.4
D1,30/09/06,Aachen,Bochum,2,1,H,0,1,A,12,21,8,11,21,14,3,2,0,0,1.95,3.2,4.0,1.9,3.25,3.75
D1,30/09/06,Bielefeld,Cottbus,3,1,H,0,1,A,10,11,5,8,16,27,2,2,0,0,2.0,3.2,3.75,2.0,3.25,3.4
D1,30/09/06,Ein Frankfurt,Hamburg,2,2,D,1,0,H,14,9,8,8,21,20,0,3,0,0,2.5,3.2,2.75,2.55,3.15,2.55
D1,30/09/06,Nurnberg,Mainz,1,1,D,1,0,H,11,11,5,7,19,18,2,1,1,0,1.66,3.4,5.5,1.7,3.45,4.5
D1,30/09/06,Werder Bremen,M'gladbach,3,0,H,3,0,H,12,7,6,4,18,15,1,3,0,0,1.4,4.33,7.5,1.45,3.85,6.5
D1,30/09/06,Wolfsburg,Bayern Munich,1,0,H,1,0,H,7,17,1,10,18,12,2,1,0,0,5.5,3.6,1.61,5.25,3.5,1.6
D1,01/10/06,Hertha,Stuttgart,2,2,D,2,1,H,17,18,11,9,21,22,2,3,0,0,2.2,3.2,3.4,2.0,3.25,3.4
D1,01/10/06,Leverkusen,Schalke 04,3,1,H,1,1,D,21,12,12,6,27,25,4,1,0,0,2.4,3.2,2.87,2.45,3.15,2.65
D1,13/10/06,Mainz,Aachen,1,3,A,1,2,A,23,10,10,6,7,13,2,5,0,0,2.05,3.25,3.5,1.9,3.3,3.7
D1,14/10/06,Bayern Munich,Hertha,4,2,H,2,0,H,16,12,10,5,7,15,1,3,0,0,1.44,4.0,7.5,1.45,3.9,6.5
D1,14/10/06,Bochum,Werder Bremen,0,6,A,0,1,A,12,27,4,16,17,20,2,1,0,0,4.75,3.5,1.72,4.25,3.4,1.75
D1,14/10/06,Hamburg,Schalke 04,1,2,A,1,1,D,9,10,8,7,32,27,2,2,1,0,2.3,3.1,3.1,2.3,3.1,2.9
D1,14/10/06,Hannover,Ein Frankfurt,1,1,D,1,0,H,14,8,8,3,19,21,0,1,0,0,2.1,3.2,3.5,2.1,3.15,3.25
D1,14/10/06,M'gladbach,Wolfsburg,3,1,H,2,1,H,11,11,8,6,19,26,1,2,0,0,1.83,3.3,4.33,1.7,3.4,4.6
D1,14/10/06,Stuttgart,Leverkusen,3,0,H,1,0,H,24,4,16,2,19,14,0,2,0,1,2.37,3.25,2.87,2.25,3.15,2.95
D1,15/10/06,Cottbus,Dortmund,2,3,A,1,1,D,18,9,8,7,32,19,5,3,0,0,2.87,3.25,2.37,2.8,3.2,2.35
D1,15/10/06,Nurnberg,Bielefeld,1,1,D,1,1,D,23,7,11,6,7,11,2,1,0,0,1.72,3.4,5.0,1.65,3.4,5.0
D1,20/10/06,Dortmund,Bochum,1,1,D,1,1,D,18,16,7,6,8,19,1,1,0,0,1.44,4.0,7.5,1.45,3.9,6.5
D1,21/10/06,Aachen,Cottbus,1,2,A,1,0,H,16,15,12,6,23,22,2,3,0,0,1.83,3.3,4.33,1.7,3.4,4.6
D1,21/10/06,Bielefeld,Mainz,1,0,H,0,0,D,16,14,5,6,10,20,2,3,0,0,2.0,3.3,3.6,2.15,3.2,3.1
D1,21/10/06,Hertha,M'gladbach,2,1,H,0,0,D,18,7,13,4,16,21,0,1,0,0,1.72,3.5,4.75,1.6,3.6,5.0
D1,21/10/06,Schalke 04,Hannover,2,1,H,2,0,H,8,4,4,2,24,26,3,4,0,0,1.44,4.0,7.5,1.5,3.75,6.0
D1,21/10/06,Werder Bremen,Bayern Munich,3,1,H,2,1,H,15,13,8,7,14,23,1,2,0,0,2.4,3.2,2.87,2.4,3.2,2.7
D1,21/10/06,Wolfsburg,Stuttgart,1,1,D,1,1,D,13,11,7,5,12,16,1,0,0,0,2.5,3.2,2.75,2.6,3.15,2.5
D1,22/10/06,Ein Frankfurt,Nurnberg,2,2,D,1,1,D,17,11,8,7,15,18,0,3,0,0,2.3,3.25,3.0,2.2,3.0,3.2
D1,22/10/06,Leverkusen,Hamburg,1,2,A,1,0,H,13,14,2,9,16,21,1,1,0,0,2.0,3.2,3.75,2.1,3.1,3.3
D1,27/10/06,Mainz,Werder Bremen,1,6,A,0,3,A,15,16,9,12,21,19,1,0,0,0,5.5,3.6,1.61,5.0,3.6,1.6
D1,28/10/06,Bayern Munich,Ein Frankfurt,2,0,H,2,0,H,19,12,12,8,15,13,0,0,0,1,1.28,5.0,10.0,1.25,5.0,10.0
D1,28/10/06,Bochum,Wolfsburg,0,1,A,0,1,A,20,17,13,8,14,19,2,2,1,0,2.25,3.2,3.1,2.25,3.2,2.9
D1,28/10/06,Cottbus,Hertha,2,0,H,0,0,D,19,11,7,4,22,21,2,4,0,1,2.9,3.2,2.37,2.85,3.2,2.3
D1,28/10/06,Hamburg,Hannover,0,0,D,0,0,D,19,12,11,4,25,14,1,0,0,0,1.66,3.6,5.0,1.65,3.5,4.8
D1,28/10/06,M'gladbach,Leverkusen,0,2,A,0,1,A,14,12,8,8,12,19,0,1,0,0,2.25,3.2,3.1,2.1,3.15,3.25
D1,28/10/06,Nurnberg,Dortmund,1,1,D,0,0,D,14,10,9,5,18,23,1,1,0,0,2.4,3.2,2.87,2.4,3.0,2.85
D1,29/10/06,Bielefeld,Aachen,5,1,H,2,0,H,19,9,13,3,7,17,0,3,0,0,2.1,3.3,3.3,2.1,3.2,3.2
D1,29/10/06,Stuttgart,Schalke 04,3,0,H,1,0,H,18,16,10,9,24,11,2,5,0,0,2.4,3.2,2.87,2.45,3.1,2.7
D1,03/11/06,Hannover,Bochum,0,2,A,0,1,A,8,8,4,5,15,18,2,2,0,0,1.8,3.4,4.33,1.8,3.35,4.05
D1,04/11/06,Aachen,Stuttgart,2,4,A,1,2,A,15,16,7,9,22,25,1,3,0,0,2.87,3.25,2.37,2.9,3.2,2.25
D1,04/11/06,Dortmund,Bielefeld,1,1,D,0,0,D,16,7,11,5,16,20,1,2,0,1,1.66,3.6,5.0,1.6,3.45,5.35
D1,04/11/06,Hertha,Nurnberg,2,1,H,1,0,H,6,16,6,10,16,17,1,0,0,0,1.9,3.25,4.0,1.8,3.2,4.3
D1,04/11/06,Leverkusen,Mainz,1,1,D,1,1,D,20,4,10,3,19,24,3,3,0,1,1.5,3.75,7.0,1.55,3.65,5.5
D1,04/11/06,Werder Bremen,Cottbus,1,1,D,0,0,D,14,10,9,6,20,28,2,5,0,0,1.25,5.0,13.0,1.25,5.0,10.0
D1,04/11/06,Wolfsburg,Hamburg,1,0,H,1,0,H,11,18,5,12,20,20,2,1,0,0,2.6,3.25,2.6,2.55,3.15,2.55
D1,05/11/06,Ein Frankfurt,M'gladbach,1,0,H,0,0,D,19,5,12,2,21,27,2,1,0,1,2.1,3.25,3.4,2.0,3.0,3.75
D1,05/11/06,Schalke 04,Bayern Munich,2,2,D,2,1,H,21,10,12,5,18,21,1,3,0,0,2.6,3.2,2.62,2.55,3.15,2.55
D1,07/11/06,Dortmund,Aachen,0,0,D,0,0,D,24,5,12,2,21,22,2,1,0,0,1.57,3.8,5.5,1.55,3.55,5.75
D1,07/11/06,Mainz,Wolfsburg,1,2,A,1,1,D,9,5,8,4,20,19,2,1,0,0,2.3,3.25,3.0,2.1,3.15,3.25
D1,07/11/06,Nurnberg,Werder Bremen,1,2,A,0,1,A,9,10,4,6,22,16,2,3,0,0,4.33,3.3,1.83,3.95,3.25,1.85
D1,07/11/06,Stuttgart,Hamburg,2,0,H,0,0,D,13,18,7,8,26,15,1,2,0,0,1.8,3.4,4.33,1.8,3.25,4.2
D1,08/11/06,Bayern Munich,Hannover,0,1,A,0,1,A,15,6,6,2,24,12,2,0,0,0,1.2,6.0,13.0,1.2,5.75,10.5
D1,08/11/06,Bielefeld,Hertha,2,2,D,1,1,D,16,8,8,5,20,20,1,4,0,0,2.4,3.25,2.8,2.55,3.15,2.55
D1,08/11/06,Bochum,Leverkusen,1,3,A,0,2,A,16,13,8,5,15,18,1,1,0,1,2.8,3.25,2.4,2.95,3.25,2.2
D1,08/11/06,Cottbus,Ein Frankfurt,0,1,A,0,1,A,16,20,7,9,18,26,2,0,0,0,2.0,3.3,3.6,1.95,3.1,3.75
D1,08/11/06,M'gladbach,Schalke 04,0,2,A,0,2,A,16,17,4,6,24,25,2,2,0,0,2.7,3.25,2.5,2.55,3.15,2.55
D1,10/11/06,Werder Bremen,Dortmund,1,3,A,1,1,D,16,13,13,6,19,32,3,4,0,0,1.44,4.0,7.5,1.45,3.85,6.65
D1,11/11/06,Ein Frankfurt,Bielefeld,0,3,A,0,1,A,14,9,9,6,12,10,3,3,0,0,2.0,3.2,3.75,1.95,3.0,3.95
D1,11/11/06,Hamburg,M'gladbach,1,1,D,0,0,D,20,8,12,6,18,31,1,2,0,0,1.72,3.6,4.5,1.6,3.55,5.15
D1,11/11/06,Hertha,Bochum,3,3,D,1,2,A,16,14,10,9,24,28,3,3,0,1,1.44,4.0,7.5,1.4,4.1,7.2
D1,11/11/06,Leverkusen,Bayern Munich,2,3,A,0,1,A,14,17,9,9,16,11,1,1,0,0,3.2,3.25,2.2,3.4,3.25,2.0
D1,11/11/06,Schalke 04,Mainz,4,0,H,3,0,H,12,10,7,4,16,11,0,0,0,0,1.44,4.0,7.5,1.4,4.1,7.2
D1,11/11/06,Wolfsburg,Cottbus,0,0,D,0,0,D,14,14,5,9,20,21,1,2,0,0,1.83,3.3,4.33,1.9,3.2,3.85
D1,12/11/06,Aachen,Nurnberg,1,1,D,0,1,A,11,30,6,14,14,20,1,2,1,0,2.37,3.25,2.87,2.55,3.15,2.55
D1,12/11/06,Hannover,Stuttgart,1,2,A,1,0,H,11,16,6,13,13,25,0,1,0,1,2.9,3.2,2.37,2.9,3.2,2.25
D1,17/11/06,Bochum,Ein Frankfurt,4,3,H,3,2,H,20,11,15,9,17,13,0,0,0,1,2.3,3.25,3.0,2.3,3.05,2.95
D1,18/11/06,Aachen,Werder Bremen,2,2,D,1,0,H,12,19,4,12,17,22,0,3,0,0,5.5,3.8,1.57,4.5,3.45,1.7
D1,18/11/06,Bayern Munich,Stuttgart,2,1,H,2,1,H,17,13,9,7,21,29,1,2,0,0,1.57,3.6,6.0,1.6,3.5,5.25
D1,18/11/06,Cottbus,Schalke 04,2,4,A,2,2,D,18,12,8,10,16,20,1,0,0,0,3.6,3.3,2.0,3.2,3.2,2.1
D1,18/11/06,Dortmund,Hertha,1,2,A,1,2,A,21,11,13,6,20,16,0,1,0,0,2.0,3.2,3.75,2.1,3.0,3.45
D1,18/11/06,Mainz,Hamburg,0,0,D,0,0,D,12,14,7,9,22,17,2,3,0,0,2.75,3.2,2.5,2.7,3.1,2.45
D1,18/11/06,Nurnberg,Leverkusen,3,2,H,1,1,D,16,13,7,5,19,20,3,3,0,0,2.4,3.2,2.87,2.35,3.0,2.95
D1,19/11/06,Bielefeld,Wolfsburg,0,0,D,0,0,D,18,7,11,3,11,17,0,2,0,0,2.1,3.25,3.4,1.9,3.3,3.7
D1,19/11/06,M'gladbach,Hannover,0,1,A,0,0,D,14,8,5,7,14,25,0,5,0,0,2.0,3.2,3.75,1.95,3.25,3.6
D1,24/11/06,Schalke 04,Bochum,2,1,H,2,0,H,22,12,15,6,14,12,2,1,0,1,1.4,4.5,7.5,1.38,4.25,7.5
D1,25/11/06,Ein Frankfurt,Dortmund,1,1,D,1,0,H,19,12,6,8,17,16,1,2,0,0,2.5,3.2,2.75,2.65,2.9,2.65
D1,25/11/06,Hamburg,Bayern Munich,1,2,A,1,0,H,8,16,4,8,19,19,3,4,0,0,4.0,3.25,1.9,4.05,3.2,1.85
D1,25/11/06,Hannover,Mainz,1,0,H,0,0,D,21,8,12,3,17,17,1,1,0,0,1.9,3.25,4.0,1.85,3.3,3.9
D1,25/11/06,Hertha,Aachen,2,1,H,1,1,D,15,13,9,8,16,17,3,1,0,0,1.57,3.8,5.5,1.5,3.75,6.0
D1,25/11/06,Werder Bremen,Bielefeld,3,0,H,2,0,H,24,3,14,2,11,10,1,2,0,0,1.4,4.33,7.5,1.45,3.85,6.65
D1,25/11/06,Wolfsburg,Nurnberg,1,1,D,0,1,A,10,9,6,5,16,20,3,2,0,0,2.3,3.25,3.0,2.35,3.0,2.95
D1,26/11/06,Leverkusen,Cottbus,3,1,H,1,0,H,22,9,16,8,22,20,2,2,0,0,1.57,3.6,6.0,1.6,3.65,5.0
